code,description,start_date,end_date,type,parent_code,level,category,notes
10000,ASSET,2024-01-01,,H,,1,Asset,"{""account_count"": 144, ""code_range"": ""10000 - 19867""}"
50000,COST OF GOODS SOLD,2024-01-01,,H,,1,Cost of Goods Sold,"{""account_count"": 44, ""code_range"": ""50000 - 59761""}"
30000,EQUITY,2024-01-01,,H,,1,Equity,"{""account_count"": 16, ""code_range"": ""30000 - 39360""}"
60000,EXPENSE,2024-01-01,,H,,1,Expense,"{""account_count"": 60, ""code_range"": ""60000 - 69794""}"
20000,LIABILITY,2024-01-01,,H,,1,Liability,"{""account_count"": 56, ""code_range"": ""20000 - 29790""}"
80000,OTHER,2024-01-01,,H,,1,Other,"{""account_count"": 5, ""code_range"": ""80000 - 87996""}"
40000,REVENUE,2024-01-01,,H,,1,Revenue,"{""account_count"": 13, ""code_range"": ""40000 - 49228""}"
10000,Loans to others,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Loans to others - This account is used to record Short-term loans provided to an employee or others.\n\nPurpose: This account tracks asset items specifically related to loans to others. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of loans to others transactions\n- Adjustments related to loans to others\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10069,Payments to deposit,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Cash and Cash Equivalents"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Payments to deposit - This account is used to record Cash or checks your business is ready to deposit at the bank.\n\nPurpose: This account tracks asset items specifically related to payments to deposit. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of payments to deposit transactions\n- Adjustments related to payments to deposit\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10138,Prepaid expenses,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Prepaid Expenses"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Prepaid expenses - This account is used to record Payments made in advance for products and services.\n\nPurpose: This account tracks asset items specifically related to prepaid expenses. It is classified under Current Asset - Prepaid Expenses in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of prepaid expenses transactions\n- Adjustments related to prepaid expenses\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Prepaid Expenses classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
